# source-commit	beff256b491e20508eab0319b23547ff145cfd04
# cargo-lock-sha256	01b65d23eb9d3c589b7f50bd79d9f0ebc7454e836f0abd05734b838952c5437a
package	version	declared_license	source
os_pipe	1.2.3	MIT	registry+https://github.com/rust-lang/crates.io-index
page_size	0.6.0	MIT/Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
parking_lot	0.12.5	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
parking_lot_core	0.9.12	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
percent-encoding	2.3.2	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
pin-project-lite	0.2.16	Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
pkg-config	0.3.32	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
plist	1.8.0	MIT	registry+https://github.com/rust-lang/crates.io-index
plotters	0.3.7	MIT	registry+https://github.com/rust-lang/crates.io-index
plotters-backend	0.3.7	MIT	registry+https://github.com/rust-lang/crates.io-index
plotters-svg	0.3.7	MIT	registry+https://github.com/rust-lang/crates.io-index
portable-atomic	1.13.1	Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
portable-atomic-util	0.2.5	Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
powerfmt	0.2.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
ppv-lite86	0.2.21	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
predicates	3.1.4	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
predicates-core	1.0.10	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
predicates-tree	1.0.13	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
prettyplease	0.2.37	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
proc-macro2	1.0.106	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
prodash	30.0.1	MIT	registry+https://github.com/rust-lang/crates.io-index
proptest	1.10.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
pulldown-cmark	0.13.0	MIT	registry+https://github.com/rust-lang/crates.io-index
pulldown-cmark-escape	0.11.0	MIT	registry+https://github.com/rust-lang/crates.io-index
quick-error	1.2.3	MIT/Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
quick-xml	0.38.4	MIT	registry+https://github.com/rust-lang/crates.io-index
quote	1.0.44	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
r-efi	5.3.0	MIT OR Apache-2.0 OR LGPL-2.1-or-later	registry+https://github.com/rust-lang/crates.io-index
rand	0.9.2	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
rand_chacha	0.9.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
rand_core	0.9.5	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
rand_xorshift	0.4.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
rayon	1.11.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
rayon-core	1.13.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
redox_syscall	0.5.18	MIT	registry+https://github.com/rust-lang/crates.io-index
redox_syscall	0.7.0	MIT	registry+https://github.com/rust-lang/crates.io-index
regex	1.12.3	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
regex-automata	0.4.14	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
regex-syntax	0.8.9	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
rich_rust	0.2.0	MIT	registry+https://github.com/rust-lang/crates.io-index
rsqlite-vfs	0.1.0	MIT	registry+https://github.com/rust-lang/crates.io-index
rusqlite	0.38.0	MIT	registry+https://github.com/rust-lang/crates.io-index
rustc-demangle	0.1.27	MIT/Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
rustc_version	0.4.1	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
rustix	0.38.44	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
rustix	1.1.3	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
rustversion	1.0.22	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
rusty-fork	0.3.1	MIT/Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
ryu	1.0.23	Apache-2.0 OR BSL-1.0	registry+https://github.com/rust-lang/crates.io-index
same-file	1.0.6	Unlicense/MIT	registry+https://github.com/rust-lang/crates.io-index
schemars	0.8.22	MIT	registry+https://github.com/rust-lang/crates.io-index
schemars_derive	0.8.22	MIT	registry+https://github.com/rust-lang/crates.io-index
scopeguard	1.2.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
semver	1.0.27	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
serde	1.0.228	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
serde_core	1.0.228	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
serde_derive	1.0.228	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
